OBS,AUOPARTSNSA,AUTOMOTIVEPRODNSA,CHEMICALPRODNSA,CLOTHINGNSA,CONSUMERGOODSNSA,DURCONSGOODSNSA,ENGERYPRODNSA,FINALPRODUCTSNSA,FOODSTOBACCONSA,FUELSNSA,OTHDURGOODSNSA,PAPERPRODNSA,PRODUCTSNSA,TOTALNSA
1975:1,55.00799942,50.91766612,56.21133296,86.30066681,62.89133453,50.83899943,85.89833323,60.38733292,64.8723348,90.08899943,51.40633392,58.93299866,60.34233348,61.77966563
1975:2,61.0643336,63.14433161,57.22799937,91.66933187,66.84233348,58.70600001,81.41333262,62.05833308,69.05066681,88.23566691,56.13133367,58.81399918,62.16566594,62.65800095
1975:3,62.21933365,61.67699941,60.71999995,96.5030009,70.632665,59.85700099,91.70633443,63.70666631,73.3693339,96.10066477,59.22933324,63.11733373,64.15666835,64.13266754
1975:4,62.83533351,67.58066686,57.76499939,96.1850001,69.32066854,63.56266658,81.55733236,63.39366659,70.53099823,92.97866567,61.33433151,59.29966609,63.78499985,65.18233109
1976:1,65.20499929,75.5713323,57.96299998,105.8136673,71.62599691,67.24599965,87.48600006,64.84933345,69.62099965,93.00299835,61.80699921,60.04466629,64.90133413,66.97933451
1976:2,61.29299927,80.54933167,61.84100087,110.5410004,74.30333455,70.97966512,81.44266764,66.74066671,72.367335,96.49400075,64.59833399,62.81566747,67.32166545,69.43333181
1976:3,60.53566742,68.47099813,68.39733378,102.9829992,75.48466492,65.01833216,91.09433492,67.50333405,77.46899923,100.0756658,63.16533534,68.3086675,68.59066772,69.90700022
1976:4,69.28599803,77.29833221,65.35400136,99.43833415,74.95433299,70.24766541,86.93266805,68.09133403,74.58733368,100.385999,65.93900045,66.1286672,68.92366536,70.77433268
1977:1,72.9439977,87.88099925,60.66999944,105.4866664,77.71366628,75.07566579,109.8993327,70.17033386,72.85366567,101.8183339,66.73899968,66.66000112,70.44466654,72.49066671
1977:2,74.37066905,93.41699982,65.09633255,109.465332,78.9930013,80.14033508,76.05299886,72.02600098,76.9343338,100.936999,71.65999858,70.34066772,72.90066528,75.25666809
1977:3,73.35933431,80.42766825,71.7543335,111.2649994,81.21133169,76.27333577,80.89133453,73.75599925,80.58933258,103.7553329,73.59400177,77.37066396,74.76999919,75.80233256
1977:4,73.83833313,87.18466441,66.14100011,109.0346654,80.24533081,79.97966512,85.22666677,73.73166911,77.75533295,103.7063319,75.36566925,71.30766551,74.51300049,76.17400106
1978:1,73.33666738,86.41299947,64.15633265,106.3943329,80.55666606,77.94700114,105.7019984,74.08066813,75.804334,97.50466665,72.5019989,71.26499939,74.57099915,75.87866465
1978:2,76.23799896,96.48700205,70.46100108,113.8889999,82.67233276,84.50166829,80.15166728,76.9943339,79.91066742,100.3033346,76.78366597,73.53499858,77.61599986,79.60799917
1978:3,77.35933431,82.66933695,76.04666392,115.2310003,84.32466634,78.36266581,84.22899882,78.60499827,83.72499847,104.9229991,75.5636673,83.64200083,79.33866628,80.21600087
1978:4,76.4399999,92.78400167,69.86799876,110.2603327,82.87299856,81.90733337,89.02266947,79.03499858,80.52633413,107.8173319,74.88933309,75.76500193,79.65166728,81.60699972
1979:1,73.98899841,92.6293335,67.06099955,107.2056656,82.83166504,81.01566823,107.1896667,79.8143336,77.17066701,98.53400167,73.55599976,74.92833201,79.94600169,81.98899841
1979:2,69.32766724,89.15233358,70.67466736,106.7193324,81.27866618,79.64866638,80.91766612,79.4413325,80.8106664,98.32833354,73.59066518,77.20766449,80.04866791,82.37966919
1979:3,70.29733531,70.45166779,76.77100118,107.4943314,81.55799866,72.25733439,82.1893336,79.79133097,83.47433217,100.6366679,73.35499827,81.81966654,80.61033376,81.67833455
1979:4,68.06999969,73.45833333,71.82666779,105.5460002,80.35199992,73.80599976,85.19733175,79.5600001,81.63966878,98.76200104,73.98966726,74.76766459,80.11766815,81.81900024
1980:1,62.0613327,68.51300176,70.70933278,107.019666,80.27666728,70.36466471,99.08933258,79.53600057,79.21233368,94.98933411,71.48133087,73.94933319,79.44233449,81.8156662
1980:2,56.38433329,60.08866628,73.8136673,108.8636678,77.4953359,65.07866542,77.18166606,77.70033264,81.25033315,88.6280009,68.14466604,75.26533508,77.18166606,78.4469986
1980:3,58.44966634,54.68066788,81.64433543,109.1893311,80.74599965,62.66400019,82.90233358,79.64099884,85.82166799,89.79733531,67.61533356,84.57166545,79.25799815,78.01899974
1980:4,60.43000031,65.89966583,74.02933248,104.8446655,79.98000081,69.47066498,83.97433472,80.34100087,83.41833242,90.9356664,71.58766683,77.89266713,79.88200124,80.53433228
1981:1,58.1850001,62.45133336,70.59466553,103.0103327,80.02600098,68.01366425,99.52499898,80.20933278,80.91133372,91.54500071,71.38433329,77.10766856,79.38400014,80.81866709
1981:2,57.19833374,68.88433329,73.52466583,107.537,79.6873347,71.13400014,75.62700144,80.99799856,83.46866608,86.15766652,72.37400055,78.36699931,80.29966736,80.97233327
1981:3,59.97666804,57.72066625,78.89933523,111.0690002,82.05766805,66.17866643,80.98833466,82.77733358,87.68066661,90.40166473,71.55033112,86.23866781,82.13833364,82.23866526
1981:4,57.80333328,57.21166611,70.22699738,106.7426656,78.44466654,63.56533305,84.14066569,80.96400197,83.73233287,91.82833354,67.53500239,79.95833333,79.83399709,79.97900136
1982:1,58.39200083,56.3743337,67.20733388,104.591334,78.37466431,60.31233215,99.99099986,79.85833232,81.99266561,84.60933431,62.68600082,80.5,78.64200083,78.65866597
1982:2,56.67133458,65.23999914,69.84599813,107.0313314,78.07633209,65.09800084,77.42366791,78.41633352,83.73733266,89.28066762,64.76299795,80.56400045,77.71566772,77.01633453
1982:3,56.74399948,57.94499969,76.25033315,108.0123316,80.89500173,62.41366577,80.56933594,78.59599813,88.72200012,91.48100026,65.13633347,87.78433228,78.46299998,76.33700053
1982:4,57.70566686,57.02033234,70.6933314,103.5513331,77.91133372,62.06633377,82.85733541,76.16600037,84.4993337,90.88433329,65.16299947,79.70466868,75.97300212,74.60799917
1983:1,58.73433304,66.40333303,68.70099894,102.8969981,79.1856664,66.48133341,93.48799896,76.20733388,81.72833252,81.06533051,66.25333405,80.86533356,75.94266764,75.79233551
1983:2,63.08300018,75.38433329,72.14033508,107.6476644,81.36700185,73.46833293,76.23699951,77.75466919,85.89266713,87.89399974,71.8783315,82.83333588,78.01366425,77.50800069
1983:3,66.35133489,72.1313324,81.18166606,111.9866664,86.9426651,74.24166616,83.75166829,82.61699931,91.98366547,92.21000163,75.39500173,93.73433431,83.14033508,81.52366638
1983:4,70.59133403,83.39499919,71.49333445,109.065333,85.16233317,80.89266713,87.88433075,83.57400004,86.95800018,90.01233419,78.89766693,86.27666728,83.86433156,83.23199972
1984:1,73.92199961,91.27399953,68.57099915,108.645668,86.3246638,83.81499736,105.7200012,85.08666738,83.77999878,89.15533447,78.47033437,85.0606664,84.74633535,85.46533203
1984:2,77.14699809,93.27533468,72.10466766,110.0136668,86.18233236,86.20399984,79.98033396,85.95400238,87.59033203,92.36066437,81.13800049,88.89699809,86.0593338,86.34866842
1984:3,79.93900045,83.48600006,79.62900035,106.295667,88.42566681,82.05233256,80.8163325,88.86333211,92.44800059,91.62833405,80.64800008,97.8799998,89.17233276,87.89866638
1984:4,80.33066813,89.43766785,73.57666524,100.4990005,85.9439977,84.14866638,84.1216685,87.90733337,89.03500112,93.25333405,80.26066589,88.65000153,87.7543335,86.78866831
1985:1,79.54299927,97.21266429,69.65166728,98.09566752,86.74000041,84.5613327,108.3996658,88.1780014,85.69499969,85.04800161,75.92366791,87.48933411,87.51933543,87.69433339
1985:2,80.72466787,99.40499878,73.38233439,100.5446676,86.34566752,86.61466471,76.96166992,88.32400004,90.19700114,91.75766754,77.8700002,91.07800039,88.42833455,87.53666687
1985:3,82.11500041,89.83466593,80.96733348,102.9143346,89.75100199,82.21833293,81.52466838,90.88366445,95.91199748,92.42133331,76.80266571,98.54633077,91.14999898,88.64899953
1985:4,83.91899872,95.19266764,73.90399933,101.4836655,87.53633372,85.36566671,87.15133413,89.71066793,90.67266846,95.48099772,78.46399943,91.35899862,89.74599965,88.30333455
1986:1,81.43766785,99.85600281,73.01700083,100.7986679,89.22699992,87.36400096,108.6393331,89.92633311,88.26633453,90.39566803,78.68633525,89.29566701,89.60233307,88.8706665
1986:2,83.47166443,102.8986638,80.23699951,103.1143341,89.73600006,90.16500092,79.02500153,89.28533173,93.05633291,96.70866648,81.26800028,93.1299998,89.66133118,88.10133362
1986:3,87.03533427,90.02433268,87.48466492,103.4153341,92.7519989,85.9916687,85.64800008,91.47299957,97.1293335,97.76833089,82.99966685,101.5239995,92.40966797,89.34733327
1986:4,91.29533386,97.03933462,80.41066742,100.9043325,91.13233439,91.40500132,89.50833384,90.69500224,92.91066742,96.63633474,87.3106664,94.96266429,91.90733337,89.82700094
1987:1,88.85566711,106.6319987,76.85933177,99.88300069,92.47799937,94.35933177,109.3893331,91.50266774,90.00666555,91.43400065,85.74900055,95.56400045,92.242335,90.87233226
1987:2,93.68966675,104.6063334,81.91400146,104.907664,92.46799723,95.29299927,81.87266541,92.1280009,94.81466675,95.81433105,88.70566813,95.7456665,94.02266693,92.1896642
1987:3,96.54166667,89.52233378,92.9419988,108.0030009,95.78133392,89.04233551,88.79066467,94.83600108,100.5649999,96.72800191,88.51500193,97.00200144,97.37599945,94.53633372
1987:4,97.15033468,101.9983317,80.39399974,104.0179977,93.97866821,97.08066813,90.66066742,94.75933329,95.76466878,98.44299825,93.46566518,97.15433502,96.56400045,95.05099996
1988:1,97.63400014,105.5150019,79.09533183,101.0683339,95.83766683,97.79066722,116.7870026,96.23566691,93.00933584,95.11233266,92.21066538,99.34566752,96.96899923,95.94966634
1988:2,99.59899902,114.3693339,86.24500275,103.0953318,95.53966777,103.0806681,83.77266693,97.04666646,95.97166443,97.85966746,95.00733185,98.3093338,98.11566671,96.67133331
1988:3,99.38500214,96.19333649,98.52333323,104.3226674,98.4286677,94.79199727,92.23466746,99.33700053,101.5683339,98.9406662,93.8086675,97.73633321,100.9763311,98.58666484
1988:4,100.582667,112.2926661,86.57100169,100.3883336,97.07500203,103.4016698,95.13799795,98.84033457,97.22833506,99.82133484,97.054334,97.77933502,99.76200104,98.34399923
1989:1,100.2919998,117.5016658,83.29933167,98.06299845,98.01833344,104.8703334,114.8769989,99.45733388,93.73366547,95.34199778,95.84933217,100.4936651,99.77766673,98.98499807
1989:2,101.3860016,119.5119985,89.00866699,101.4626668,97.78966522,106.6643346,86.33433533,100.6566696,97.99233246,97.55599976,97.48133087,100.9536667,101.1433334,99.65333557
1989:3,97.37400055,96.18033091,98.50099945,102.0963338,97.86366526,94.87400055,91.24799856,100.4253337,100.1329981,100.6290003,93.9343338,99.96900177,101.6676661,99.47766876
1989:4,97.82099915,102.5516663,88.01266734,98.89600118,97.07133484,98.91633097,100.6843338,99.18799845,97.76800028,99.46933238,96.27666728,99.19366709,99.85266622,98.44033305
1990:1,98.37233226,101.4613342,85.63433329,96.52866618,97.27799988,99.07566579,113.8246638,99.30233256,94.76666768,96.47466532,97.28899892,101.9539998,99.52033488,98.61966451
1990:2,98.68099976,114.5916672,91.63499959,96.92100016,96.95433299,104.457667,86.47833506,99.21533457,97.15199788,96.79366811,97.05400085,99.93799845,99.80766551,98.82899729
1990:3,96.40099843,97.74666595,101.784668,99.03966522,99.51766713,96.14566549,94.08399963,101.2580007,102.1536687,102.6790009,95.09333293,100.8503342,102.183665,100.4319992
1990:4,91.12533061,89.63566589,90.65900167,93.9963328,95.61766561,92.30566661,96.22900136,98.34299978,99.01766459,97.91733297,94.37099965,99.60466512,98.8156662,97.85533396
1991:1,87.41933187,82.95233154,87.52933248,90.95666504,94.61000061,88.10600026,116.387001,96.26399994,94.36166636,94.50299835,91.96233368,100.2160009,95.64533234,95.31599935
1991:2,91.8169988,96.52533468,94.78299967,96.94400024,95.9946696,95.0043335,88.69433339,97.21966553,98.28633118,99.17366791,93.85033162,98.96233368,97.08466593,96.06633504
1991:3,93.99400075,87.98433431,104.8483327,102.3803329,99.92299906,92.42033386,95.08066813,99.39866638,103.4833323,101.4636663,95.90233358,99.07400004,99.98366547,98.77266693
1991:4,93.22900136,93.65733592,93.42033386,100.1930008,97.66166433,96.63466644,101.2480011,97.88666534,97.8813324,100.824,98.98299917,100.1876678,97.87599945,97.67366791
1992:1,96.12733459,94.76366679,92.09200033,96.73066966,97.66733551,95.8106664,117.1073354,97.34833272,94.97999827,95.41033427,96.60733287,100.7409999,96.95800018,97.79433441
1992:2,99.9469986,106.9106674,98.79333242,99.79799906,98.75666555,102.8076681,87.70933278,98.97533417,99.02633158,100.051,99.62799835,99.35133362,99.09533183,99.58000183
1992:3,102.1626663,93.34033457,109.4313329,102.7876663,102.0863342,96.34366608,90.33200073,101.4823329,106.1929983,99.64799754,98.6773351,99.26699829,102.1616669,101.1930008
1992:4,101.7636668,104.9846675,99.6830012,100.6836675,101.4893341,105.0383326,104.8516668,102.1936671,99.80099996,104.8903325,105.0876668,100.6410014,101.7850011,101.4329987
1993:1,103.517334,114.1846644,96.42433421,98.5726649,102.9523341,111.0466665,127.095665,102.6363322,95.58466593,97.89899953,108.6893336,102.8896662,101.5449982,102.2080002
1993:2,106.5896657,118.7799988,101.2716675,103.1080017,101.7226664,114.2173335,89.40699768,102.4373322,97.67833455,101.5986659,110.7996648,103.4876684,102.1593323,102.7493312
1993:3,107.6389999,100.070666,113.9623337,105.856336,105.5993322,105.1373316,98.37666575,104.7039998,104.9436671,102.929334,108.9310023,101.7803319,105.2366664,104.3853327
1993:4,104.1146673,116.5733312,97.79099782,101.8906682,103.5936661,116.7276662,106.010999,104.435997,98.91666921,107.5659993,116.8690008,101.6863327,104.1763331,104.5953318
1994:1,107.8529994,129.2659988,96.54533641,98.6333313,106.100001,122.9623337,130.3653336,105.7929993,96.58300273,96.81233215,118.3546651,101.6970011,104.5946681,106.0213343
1994:2,109.7170029,130.4366659,104.5386658,106.5270004,106.4306666,126.0079981,91.05200195,106.7599996,102.3886668,102.8360011,122.7809982,102.3396657,106.3963343,108.1910019
1994:3,110.0210012,114.5926692,115.3023326,108.9653346,110.1469981,118.6460012,96.36599986,109.4186656,109.7873357,102.6949972,121.559667,102.1320012,109.7686666,110.8133341
1994:4,110.3129985,127.2623342,102.8466644,106.1816661,108.5783335,127.4933319,102.5709991,109.6639989,105.1963323,105.3053309,127.6433309,101.1029994,109.2396673,111.3230006
1995:1,110.3180008,132.8726629,101.1326675,102.3116684,109.9293365,131.1973317,125.8589986,110.7756678,100.7606659,100.1586685,129.8160019,103.0623322,109.1780014,112.8470001
1995:2,111.3040009,131.6746623,105.7183355,106.0726674,108.5336685,128.9306666,92.90433502,110.2523321,105.4300003,104.385999,126.7146657,103.4129995,109.3583349,113.1096649
1995:3,113.5743306,115.2433345,120.5023346,106.8000005,113.1503321,121.652331,102.508667,113.840332,112.1813304,105.9046656,126.683665,104.4350001,113.6126658,115.9696681
1995:4,113.2766673,125.4513346,108.5239995,102.3803329,110.6680018,130.5903295,109.4273326,112.7906647,105.0806681,106.6813354,134.6089935,103.8520025,111.720665,115.3806661
1996:1,115.6329981,126.4246674,105.7416662,97.65733337,111.1186651,128.1563365,136.2969971,113.2960002,101.8483327,101.7856674,129.4860001,103.2723338,111.0936661,115.9316686
1996:2,116.8746668,138.9130046,109.4399999,103.7116648,111.0096664,136.2753347,99.1236674,114.9206645,105.4233348,107.5030009,134.1606649,103.7960002,113.5843328,118.6476669
1996:3,116.3173319,121.9159978,125.7306671,105.7023341,114.9509989,126.7839966,102.1419983,118.277331,111.866333,107.6946665,130.4796702,105.9696681,117.7716649,121.7850011
1996:4,114.2939987,126.6366628,114.588,102.0366669,112.9620005,132.2920024,111.6479975,118.1036657,105.8343353,110.284668,136.7829997,107.5673345,116.8323313,121.8610001
1997:1,116.6736654,137.7943319,111.7146683,97.47333272,113.7356644,136.4596608,128.8373311,119.2563349,102.6139984,102.5416667,134.9533335,107.9163335,117.0543315,123.3753332
1997:2,118.9696681,139.8346659,117.6666692,101.9820023,113.5076675,139.8253326,97.28966777,121.1896667,105.3880005,111.4053345,139.471995,110.9473317,119.7069982,126.1563339
1997:3,119.248998,125.2633336,129.6809998,103.2796656,117.3626684,132.0256653,103.1806666,124.8560028,112.6669998,111.3059998,137.8569997,112.5576681,124.0046666,129.9416656
1997:4,116.8460007,140.5246658,126.8769989,99.04166667,118.8233312,144.1566671,116.5333328,127.3553314,108.2476654,111.9763336,147.0446676,113.1863327,125.0809987,131.4533335
1998:1,119.6963323,144.1969961,126.9376653,93.66999817,119.5970001,148.5,132.3756663,128.4526647,105.7353338,105.7899984,152.0686696,109.9219996,124.8533325,131.9396667
1998:2,124.8633347,141.840332,126.2789993,96.17766571,116.7056681,146.1363373,98.09066518,127.4700012,108.9863332,112.4333318,149.6369985,107.7836634,125.5873337,132.7356669
1998:3,125.4456635,129.8810043,129.6233368,96.46999868,119.1640015,138.7260005,107.4856669,130.683665,114.8036677,112.5946655,145.919337,109.0429993,129.6866659,135.6393382
1998:4,123.6503347,147.2076721,127.0383326,91.08700053,118.0683339,149.7289937,109.333669,130.6676687,108.8850021,111.3830007,151.7026672,107.3709997,128.7736638,135.6173299
1999:1,126.6713359,155.5110016,130.2400004,85.87900035,121.2170003,158.2666677,138.4286652,132.0673319,106.1060003,107.0603333,160.3073324,104.3356679,128.716334,136.3943329
1999:2,130.306661,159.1213328,130.1626638,89.30533346,118.7730001,161.5996653,98.83233388,131.5166677,107.8790003,112.4303335,163.3263346,104.5023321,129.6766713,138.1126658
1999:3,130.438001,143.5323334,134.7850037,89.79733531,121.4456685,151.5726674,107.4969991,134.3213348,114.0230001,112.5796661,158.2633311,107.9633331,133.3870036,141.2366689
1999:4,129.0873362,152.3636678,135.5823364,86.30233256,121.7360001,161.7966665,111.091334,135.1203308,108.7559992,113.4526672,169.7883352,110.0789998,133.0889994,142.593338
2000:1,132.6716665,163.792333,133.3236694,83.36466471,123.9903336,167.9123281,135.4080022,137.2020009,107.0286662,106.4213333,170.8939972,108.3283335,133.7903392,144.3320007
2000:2,133.9703318,164.5793355,136.4243368,87.24266815,122.0483348,168.7116699,101.5500005,137.5036672,109.882665,114.6583354,171.6943309,108.9633331,135.3393351,147.0199992
2000:3,131.4623362,141.1863327,139.8493347,86.5089976,123.2583338,151.4670003,107.1826655,139.9313354,116.2153346,115.4356664,160.3546702,113.0853322,138.4256694,149.60967
2000:4,128.8943303,143.125,138.451004,82.81366475,122.787,154.9900004,121.0536677,140.4089966,109.832667,115.3769989,165.4696706,113.982666,137.3353373,148.8456675
