OBS,AUOPARTSNSA,AUTOMOTIVEPRODNSA,CHEMICALPRODNSA,CLOTHINGNSA,CONSUMERGOODSNSA,DURCONSGOODSNSA,ENGERYPRODNSA,FINALPRODUCTSNSA,FOODSTOBACCONSA,FUELSNSA,OTHDURGOODSNSA,PAPERPRODNSA,PRODUCTSNSA,TOTALNSA
1946:1,,,,,20.82833354,,,17.62333361,,,,,17.78100014,17.89399974
1946:2,,,,,21.25333277,,,18.03333282,,,,,18.34733327,18.41399956
1946:3,,,,,23.16466713,,,19.41433334,,,,,19.59133275,20.02933311
1946:4,,,,,24.02933311,,,20.33033371,,,,,20.43366687,20.81599998
1947:1,19.31900024,20.98433304,,59.71866735,23.18000031,18.85533333,,20.61733309,31.10900052,,17.96400007,,20.84833336,21.54600016
1947:2,20.03933271,22.13699977,,51.93666712,22.63366636,19.37666639,,20.24833361,31.35966682,,18.26133283,,20.77933375,21.29333305
1947:3,20.92300034,22.02199999,,55.09499995,23.99899928,19.13500023,,20.986667,35.41733297,,17.91633288,,21.29066594,21.33533351
1947:4,21.87299983,24.22699992,,58.2246666,25.01533318,21.5890007,,22.02566655,34.29866664,,20.45166651,,22.35400009,22.58533287
1948:1,19.55866687,22.55533282,,63.44066747,24.16566594,20.34299978,,21.62900035,29.79000028,,19.39233335,,22.00899951,22.43133354
1948:2,21.34899966,22.78599993,,56.87099965,23.83233325,20.12700017,,21.31466675,31.8939991,,19.02366702,,21.85699972,22.3326664
1948:3,21.21833293,24.32800039,,58.02699916,24.90933291,20.62266668,,21.95733325,35.06700007,,19.0473334,,22.39600054,22.62766711
1948:4,18.56599935,23.78000005,,56.42000071,24.87899971,21.29666646,,22.06666629,33.56366666,,20.28533363,,22.60266685,23.03499985
1949:1,15.1056668,21.14266713,,60.5366656,23.6200002,18.67766698,,21.05466588,29.90666644,,17.63033295,,21.34566689,21.92533366
1949:2,15.17133331,23.72266706,,54.05166626,23.28600057,18.49966685,,20.50799942,31.76033338,,16.34499931,,20.90366681,20.94233322
